"gene","model","n","seconds","mode_status","warnings","nb_size","spatial_sd","slide_sd","phi_per_mm","correlation_at_60um","count_correlation","rate_correlation","pearson_mean","pearson_rms","slice_mean_residual_rms","adjacent_slice_residual_correlation","spatial_slide_mean_correlation","slice_ratio_min","slice_ratio_max"
"Snap25","spatial",97830,11.31,0,0,15.0436679152442,0.384722989900584,NA,NA,NA,0.685320441471257,0.358680238446835,-0.0046785755937841,0.996854890443615,0.17774652718047,0.027516130600591,NA,0.778708728365996,1.28424516140851
"Snap25","iid",97830,15.47,0,0,18.8239158130031,0.354902336799142,0.138097323776183,NA,NA,0.70352979420806,0.395786216288605,-0.00116778625336936,1.00089797773708,0.014440688472894,0.470532401963448,0.308754085756926,0.985701946521943,1.01092690637279
"Snap25","ou",97830,30.69,0,0,18.8201260881649,0.352248888366891,0.151892658233577,12.3349494605106,0.477067653158115,0.703505130873562,0.395714503136438,-0.0011832712692963,1.0009300368631,0.0144602297031586,0.317522029875607,0.350822584783255,0.977904908151921,1.01813927260654
"Foxp1","spatial",97830,11.1,0,0,5.83059767259675,0.617614281287968,NA,NA,NA,0.647645853704329,0.613560922015854,0.000722364827209309,1.00747411582602,0.122489960046912,-0.149353577203968,NA,0.713241037161079,1.36693472300508
"Foxp1","iid",97830,20.59,0,0,6.34630387817833,0.485505370767378,0.362077351332022,NA,NA,0.65541561342517,0.620685733535149,-0.000359337174993793,1.00675189154663,0.0117207125909753,0.172259887674837,0.727310940554776,0.94077991219183,1.0252071591525
"Foxp1","ou",97830,45.4,0,0,6.3466541251924,0.48101333840272,0.513964156739205,1.1253147545685,0.934710068193491,0.655411719232093,0.620728675188557,-0.000270794220219117,1.00691983711346,0.0215011784650181,-0.366534583427801,0.490553757312731,0.842529748537869,1.09283057841305
"Tfap2b","spatial",97830,9.34,0,0,4.53581736025556,1.73822801377677,NA,NA,NA,0.837844719900719,0.788667832884004,-0.012150517904593,0.972448337358794,0.119441243254478,0.031155977954593,NA,0.453282042115716,2.09056082610462
"Tfap2b","iid",97830,23.24,0,0,4.78848427616446,0.970526448468685,1.76113903739071,NA,NA,0.840195978154064,0.791062718584004,-0.0096526172641369,0.980869658285852,0.0230195926030307,-0.0131213047851298,0.869003209595607,0.894213405400712,1.0649604708611
"Tfap2b","ou",97830,49.87,0,0,4.79053027270145,0.968750306561982,3.10463208315128,0.0959891098007299,0.99425720665465,0.840243548935875,0.791146517563534,-0.00970012121277908,0.980562328657619,0.033882593141379,-0.39467545680048,0.75387348089269,0.604113653102675,1.1915577848707
